blocker_nflId,blocker_name,blocker_pos,n_plays,n_frames,median_etbc,pct_pressure_allow,etbc_z,pff_z_inv,disagreement
42569,Bobby Hart,T,18,296,7.552673997544159,0.16666666666666666,3.5400005465724664,-2.087030677622071,5.627031224194537
47821,Cody Ford,G,117,2490,7.683818530497448,0.15384615384615383,2.077936637199775,-2.3858795820762313,4.463816219276007
41707,Tyler Larsen,C,25,583,4.100103060949144,0,-2.097281175547334,1.487947208869915,3.585228384417249
40416,Christopher Hubbard,T,17,425,5.688820199234018,0.17647058823529413,1.2307177853250624,-2.325332219512752,3.5560500048378145
53482,Dillon Radunz,T,16,297,5.351578953960117,0.1875,0.8128816895976442,-2.5934214541397673,3.4063031437374116
43444,Joe Haeg,T,72,1686,3.333874764315275,0.01388888888888888,-1.6870190572677901,1.626501683507704,3.313520740775494
53539,James Hudson,T,53,1286,6.719382706091677,0.11320754716981132,2.5075669854243388,-0.7876128359917552,3.295179821416094
52635,Lachavious Simmons,G,14,294,3.455190376942821,0.2857142857142857,-2.767370206158043,-5.96401688245216,3.196646676294117
54006,Jake Curhan,T,17,425,5.287802056626091,0.17647058823529413,0.7338632120148837,-2.325332219512752,3.0591954315276357
46755,Trenton Scott,T,41,869,6.353223446720179,0.12195121951219512,2.053901968187285,-1.000143157291405,3.05404512547869
43368,Isaac Seumalo,G,74,1647,4.4740473421209925,0.02702702702702703,-1.5999290298439814,1.0552569658078257,2.655185995651807
46314,Will Clapp,C,10,212,4.2461942302655125,0.2,-1.955763863918499,-4.524283716046291,2.568519852127792
43295,Ronnie Stanley,T,34,865,3.143284170845286,0.2647058823529412,-1.9231575206790288,-4.470046096528878,2.5468885758498496
52418,Jedrick Wills,T,139,3101,5.790147923614007,0.12949640287769784,1.3562610910067023,-1.1835420979358209,2.539803188942523
53522,Spencer Brown,T,93,2321,6.592612898360908,0.08602150537634409,2.3505013765741536,-0.126808316908407,2.4773096934825607
46689,Ike Boettger,G,55,1132,8.226387822739289,0.05454545454545454,2.699631099146094,0.3085662335098842,2.39106486563621
45630,Storm Norton,T,240,5679,5.654430664040801,0.12916666666666668,1.1881097433954806,-1.1755272798902174,2.363637023285698
46237,Jamarco Jones,T,62,1284,6.120650826037817,0.0967741935483871,1.7657484959745782,-0.3881712983368953,2.1539197943114736
52421,Tristan Wirfs,T,294,6784,4.011245069950783,0.02721088435374149,-0.8477689126463728,1.3026871733535308,2.1504560859999033
53655,Trey Smith,G,319,6404,7.668637874329411,0.06896551724137931,2.0605421218755033,-0.08271074505264556,2.1432528669281488
35462,Bryan Bulaga,T,26,527,3.8193803847461902,0.03846153846153846,-1.0854859537774064,1.0292202547945235,2.11470620857193
41939,Andrew Norwell,G,238,4962,5.413391751149724,0.01260504201680672,-0.5235960613111835,1.4465861048460251,1.9701821661572088
43337,Jason Spriggs,T,36,770,5.656909530923898,0.1111111111111111,1.1911810167784866,-0.7366552735748799,1.9278362903533666
43320,Germain Ifedi,T,125,2962,3.946805435922392,0.04,-0.927608509581375,0.9918252436055242,1.9194337531868992
37130,Rodney Hudson,C,138,2488,9.73334078019337,0,3.359589773765231,1.487947208869915,1.871642564895316
46198,Will Richardson,T,23,441,4.778420934912006,0,0.10274877356177349,1.9640955345195015,1.8613467609577279
53492,Creed Humphrey,C,301,5774,8.891137211785068,0.02657807308970099,2.5437541185159396,0.6889796440969974,1.8547744744189423
52514,Tyre Phillips,G,52,1460,4.450886696338662,0.05769230769230769,-1.6264672903461208,0.2231788661145496,1.8496461564606703
44832,Garett Bolles,T,271,6497,3.5670027728369855,0.06273062730627306,-1.3981774690856987,0.4393174030123415,1.8374948720980402
47906,Ben Powers,G,195,4809,4.987971200549777,0.03589743589743589,-1.0110574862166177,0.8145654477044602,1.8256229339210779
43302,Laremy Tunsil,T,119,2719,3.659476642352396,0.0588235294117647,-1.2836039371212324,0.5342862831754174,1.8178902202966498
48220,Patrick Mekari,G,191,4938,4.60593009898614,0.05235602094240838,-1.448813253957555,0.36797477999320016,1.816788033950755
29550,Jason Peters,T,214,4978,3.555399695250418,0.06542056074766354,-1.4125534824148396,0.3739338437723424,1.7864873261871819
53527,Quinn Meinerz,G,42,852,4.751017735015401,0.04761904761904761,-1.2825668756496773,0.4965087987821554,1.7790756744318328
41232,Jake Matthews,T,280,6022,4.151127695726874,0.03571428571428571,-0.67445674803581,1.0959970604891647,1.7704538085249748
47794,Jonah Williams,T,247,5957,3.585390809636608,0.06477732793522267,-1.3753950081260196,0.38956874761427496,1.7649637557402946
43045,Quinton Spain,G,247,5420,5.234062077250999,0.02834008097165992,-0.7290781383834376,1.019628287141209,1.7487064255246465
41237,Taylor Lewan,T,174,3984,3.647225005699149,0.06321839080459771,-1.298783503966047,0.42746145405200836,1.7262449580180552
47976,Olisaemeka Udoh,T,244,4526,6.056993008765647,0.08196721311475409,1.6868775565379441,-0.028261618992747067,1.7151391755306913
41667,Josh Wells,T,13,248,4.909973350482621,0,0.26573995117082566,1.9640955345195015,1.6983555833486759
35472,Rodger Saffold,G,196,3816,4.809549040486772,0.05102040816326531,-1.215499702880489,0.404215574764522,1.619715277645011
46084,Kolton Miller,T,262,6164,4.092557120223818,0.04580152671755725,-0.7470246825208952,0.8508089418699091,1.5978336243908042
42952,Kendall Lamm,T,28,554,2.8919616353041646,0.10714285714285714,-2.2345418145352824,-0.6401998875715091,1.5943419269637733
52483,Jonah Jackson,G,308,6551,6.806176067943399,0.08441558441558442,1.0723038703981134,-0.5019360792267846,1.574239949624898
52480,Josh Jones,G,220,4825,6.738931125372466,0.08636363636363636,0.9952523140567843,-0.5547949257096109,1.5500472397663951
52426,Austin Jackson,T,281,6496,5.073779021266132,0.12455516014234876,0.46869235659977687,-1.0634365101414602,1.5321288667412372
47818,Jawaan Taylor,T,252,6061,3.7503803608694506,0.06746031746031746,-1.1709757952063211,0.3243539724621985,1.4953297676685195
52600,Jon Runyan,G,186,3517,7.202118813031573,0.06451612903225806,1.5259886170081765,0.03801987946875214,1.4879687375394244
47873,Connor McGovern,G,57,1103,6.650770258849944,0.08771929824561403,0.8942345763020818,-0.5915797370046768,1.4858143133067587
35443,Trent Williams,T,165,3855,4.130640834741479,0.04848484848484848,-0.6998396160207013,0.785586090987408,1.4854257070081092
39965,Justin Pugh,G,212,4190,7.264595494165445,0.06132075471698113,1.597576536223482,0.12472383033376527,1.4728527058897167
