blocker_nflId,blocker_name,blocker_pos,n_plays,n_frames,median_etbc,mean_etbc,pct_pressure_allow
39907,Darren Fells,TE,11,200,10,7.759302388362288,0
43370,Austin Hooper,TE,25,465,10,7.564352993209866,0.04
45635,Robert Tonyan,TE,5,85,10,8.030628132027834,0.2
53065,Tommy Hudson,TE,5,65,10,7.956174177919238,0
37130,Rodney Hudson,C,138,2488,9.73334078019337,7.732427903125982,0
52541,Colby Parkinson,TE,8,150,9.477684939773656,7.315151860308923,0.125
42460,Blake Bell,TE,17,316,9.291906652468345,7.5597050685754725,0.058823529411764705
42547,Darren Waller,TE,10,213,9.275512505438531,7.087279695527578,0.1
40615,Demetrius Harris,TE,11,255,9.073652035325447,7.345060913932035,0
53492,Creed Humphrey,C,301,5774,8.891137211785068,7.261537796230673,0.026578073089700997
52470,A.J. Dillon,RB,10,207,8.807839917021035,6.711804103814313,0.1
45321,Antony Auclair,TE,20,338,8.748069909619302,7.243658975298759,0.1
40020,Brian Winters,G,7,138,8.515690245007962,7.1220379341705815,0.14285714285714285
46689,Ike Boettger,G,55,1132,8.226387822739289,6.966206893996444,0.05454545454545454
30842,Marcedes Lewis,TE,17,322,8.090123878114714,6.692227630397296,0
43880,Elijhaa Penny,RB,5,86,8.063243497163903,7.088668144524936,0.2
45339,Pharaoh Brown,TE,23,449,7.740593898984135,6.866507928187114,0.043478260869565216
47821,Cody Ford,G,117,2490,7.683818530497448,7.122564595238177,0.15384615384615385
53655,Trey Smith,G,319,6404,7.668637874329411,7.009635774901648,0.06896551724137931
42392,Mitch Morse,C,236,4918,7.594366743939517,6.956347117930561,0.0423728813559322
42569,Bobby Hart,T,18,296,7.552673997544159,6.710455080983431,0.16666666666666666
47831,Erik McCoy,C,74,1376,7.5486572525086135,7.1554711379510705,0.013513513513513514
47791,T.J. Hockenson,TE,12,287,7.545608617943367,7.106859281334428,0.08333333333333333
44835,Evan Engram,TE,5,97,7.483292008296535,7.195600637328986,0
42398,Maxx Williams,TE,20,425,7.420262866574663,6.624259677571937,0.1
44068,Lucas Patrick,G,126,2442,7.390831711611005,7.187397595634826,0.047619047619047616
42476,Max Garcia,C,107,2220,7.364708649209603,7.102710924358592,0.018691588785046728
47959,Kaden Smith,TE,23,396,7.331687034653368,7.0611402665888985,0.13043478260869565
43367,Joe Thuney,G,314,6541,7.314409492625456,6.808496107181249,0.03184713375796178
34540,Jared Cook,TE,13,301,7.307028267327167,6.999255460682267,0.07692307692307693
46089,Frank Ragnow,C,119,2222,7.274684525429368,7.121908730008912,0.03361344537815126
44856,Gerald Everett,TE,7,176,7.2657793401425455,5.865519755791024,0.14285714285714285
39965,Justin Pugh,G,212,4190,7.264595494165445,7.105566893690318,0.06132075471698113
